## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR062634/SRR062634.paired.sorted.bam --OUTPUT /Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR062634/SRR062634_sorted_dedup_reads.bam --METRICS_FILE /Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR062634/input.dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jan 02 23:02:59 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	80009	24348902	117259	174405	6799	211719	0	0.00882	1392003728

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	23938638	23938638
2.0	1.98266	189269	189269
3.0	2.948281	6775	6775
4.0	3.897158	1629	1629
5.0	4.829582	553	553
6.0	5.745838	189	189
7.0	6.646205	82	82
8.0	7.530961	28	28
9.0	8.400375	16	16
10.0	9.254713	2	2
11.0	10.094238	0	0
12.0	10.919205	2	2
13.0	11.729867	0	0
14.0	12.526473	0	0
15.0	13.309265	0	0
16.0	14.078484	0	0
17.0	14.834365	0	0
18.0	15.577138	0	0
19.0	16.307033	0	0
20.0	17.024271	0	0
21.0	17.729072	0	0
22.0	18.421652	0	0
23.0	19.102222	0	0
24.0	19.770992	0	0
25.0	20.428165	0	0
26.0	21.073943	0	0
27.0	21.708524	0	0
28.0	22.3321	0	0
29.0	22.944864	0	0
30.0	23.547003	0	0
31.0	24.138701	0	0
32.0	24.720138	0	0
33.0	25.291494	0	0
34.0	25.852943	0	0
35.0	26.404656	0	0
36.0	26.946802	0	0
37.0	27.479547	0	0
38.0	28.003055	0	0
39.0	28.517486	0	0
40.0	29.022996	0	0
41.0	29.51974	0	0
42.0	30.007871	0	0
43.0	30.487538	0	0
44.0	30.958888	0	0
45.0	31.422065	0	0
46.0	31.87721	0	0
47.0	32.324462	0	0
48.0	32.76396	0	0
49.0	33.195837	0	0
50.0	33.620225	0	0
51.0	34.037254	0	0
52.0	34.447052	0	0
53.0	34.849744	0	0
54.0	35.245454	0	0
55.0	35.634302	0	0
56.0	36.016407	0	0
57.0	36.391887	0	0
58.0	36.760855	0	0
59.0	37.123427	0	0
60.0	37.479711	0	0
61.0	37.829817	0	0
62.0	38.173852	0	0
63.0	38.511922	0	0
64.0	38.84413	0	0
65.0	39.170577	0	0
66.0	39.491364	0	0
67.0	39.806588	0	0
68.0	40.116347	0	0
69.0	40.420734	0	0
70.0	40.719843	0	0
71.0	41.013766	0	0
72.0	41.302592	0	0
73.0	41.586409	0	0
74.0	41.865306	0	0
75.0	42.139366	0	0
76.0	42.408675	0	0
77.0	42.673313	0	0
78.0	42.933363	0	0
79.0	43.188903	0	0
80.0	43.440013	0	0
81.0	43.686768	0	0
82.0	43.929245	0	0
83.0	44.167517	0	0
84.0	44.401657	0	0
85.0	44.631737	0	0
86.0	44.857828	0	0
87.0	45.079999	0	0
88.0	45.298317	0	0
89.0	45.512849	0	0
90.0	45.723662	0	0
91.0	45.930819	0	0
92.0	46.134384	0	0
93.0	46.334419	0	0
94.0	46.530985	0	0
95.0	46.724143	0	0
96.0	46.913952	0	0
97.0	47.10047	0	0
98.0	47.283753	0	0
99.0	47.463858	0	0
100.0	47.64084	0	0

