## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR099960/original/SRR099960.bam --OUTPUT /Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR099960/original/SRR099960.dedup.bam --METRICS_FILE /Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR099960/original/SRR099960_input.dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jan 04 23:08:59 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	15753	76600340	47664	213833	6087	3832159	0	0.050063	739823017

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	69151561	69151561
2.0	1.901641	3416820	3416820
3.0	2.714598	185616	185616
4.0	3.447593	12863	12863
5.0	4.108491	1141	1141
6.0	4.704385	136	136
7.0	5.241667	36	36
8.0	5.726102	7	7
9.0	6.162889	0	0
10.0	6.556714	1	1
11.0	6.911803	0	0
12.0	7.231965	0	0
13.0	7.520637	0	0
14.0	7.780916	0	0
15.0	8.015593	0	0
16.0	8.227188	0	0
17.0	8.417971	0	0
18.0	8.589989	0	0
19.0	8.745087	0	0
20.0	8.88493	0	0
21.0	9.011018	0	0
22.0	9.124704	0	0
23.0	9.227208	0	0
24.0	9.31963	0	0
25.0	9.402961	0	0
26.0	9.478096	0	0
27.0	9.545841	0	0
28.0	9.606923	0	0
29.0	9.661996	0	0
30.0	9.711653	0	0
31.0	9.756425	0	0
32.0	9.796794	0	0
33.0	9.833192	0	0
34.0	9.86601	0	0
35.0	9.8956	0	0
36.0	9.92228	0	0
37.0	9.946335	0	0
38.0	9.968025	0	0
39.0	9.987581	0	0
40.0	10.005213	0	0
41.0	10.021111	0	0
42.0	10.035446	0	0
43.0	10.04837	0	0
44.0	10.060024	0	0
45.0	10.070531	0	0
46.0	10.080004	0	0
47.0	10.088546	0	0
48.0	10.096248	0	0
49.0	10.103192	0	0
50.0	10.109453	0	0
51.0	10.115098	0	0
52.0	10.120188	0	0
53.0	10.124778	0	0
54.0	10.128916	0	0
55.0	10.132647	0	0
56.0	10.136011	0	0
57.0	10.139044	0	0
58.0	10.141779	0	0
59.0	10.144244	0	0
60.0	10.146468	0	0
61.0	10.148472	0	0
62.0	10.15028	0	0
63.0	10.151909	0	0
64.0	10.153379	0	0
65.0	10.154703	0	0
66.0	10.155898	0	0
67.0	10.156975	0	0
68.0	10.157946	0	0
69.0	10.158822	0	0
70.0	10.159611	0	0
71.0	10.160323	0	0
72.0	10.160965	0	0
73.0	10.161543	0	0
74.0	10.162065	0	0
75.0	10.162535	0	0
76.0	10.16296	0	0
77.0	10.163342	0	0
78.0	10.163687	0	0
79.0	10.163998	0	0
80.0	10.164278	0	0
81.0	10.164531	0	0
82.0	10.164759	0	0
83.0	10.164964	0	0
84.0	10.165149	0	0
85.0	10.165316	0	0
86.0	10.165467	0	0
87.0	10.165603	0	0
88.0	10.165725	0	0
89.0	10.165836	0	0
90.0	10.165935	0	0
91.0	10.166025	0	0
92.0	10.166106	0	0
93.0	10.166179	0	0
94.0	10.166245	0	0
95.0	10.166304	0	0
96.0	10.166357	0	0
97.0	10.166406	0	0
98.0	10.166449	0	0
99.0	10.166488	0	0
100.0	10.166524	0	0

