## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR062634/insert_size_histogram.pdf INPUT=/Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR062634/SRR062634_sorted_dedup_bqsr_reads.bam OUTPUT=/Users/leila/Projects/Variant_calling_GATK/aligned_reads/SRR062634/insert_size_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Jan 03 15:11:13 CET 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
183	183	13	2	238647854	179.37228	24.942012	23919894	FR	5	11	15	21	27	33	41	51	71	105	199			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	12
3	14
4	8
5	6
6	8
7	10
8	8
9	11
10	6
11	5
12	13
13	10
14	13
15	9
16	13
17	3
18	11
19	11
20	4
21	11
22	3
23	30
24	13
25	11
26	15
27	21
28	22
29	100
30	709
31	851
32	969
33	1182
34	1236
35	1356
36	1488
37	1521
38	1696
39	1824
40	1829
41	1883
42	2052
43	2067
44	2136
45	2186
46	2299
47	2185
48	2468
49	2524
50	2612
51	2764
52	2862
53	2873
54	2979
55	3026
56	3229
57	3335
58	3459
59	3511
60	3701
61	3824
62	4097
63	4125
64	4437
65	4564
66	4698
67	4754
68	5036
69	5184
70	5454
71	5498
72	5762
73	5975
74	6274
75	6417
76	6633
77	6815
78	7031
79	7228
80	7481
81	7690
82	8005
83	8177
84	8586
85	8731
86	9023
87	9183
88	9370
89	9563
90	9342
91	11664
92	12026
93	12220
94	12729
95	12960
96	13516
97	13802
98	14253
99	14764
100	15013
101	15750
102	15777
103	16268
104	16907
105	17421
106	18140
107	18255
108	18583
109	19168
110	19792
111	20483
112	20792
113	21628
114	22410
115	22797
116	23401
117	24106
118	25158
119	25912
120	26592
121	27242
122	27927
123	28539
124	29647
125	30477
126	31334
127	32167
128	32694
129	34363
130	35264
131	36593
132	37126
133	38997
134	40519
135	42619
136	43879
137	45689
138	47851
139	49362
140	51251
141	53559
142	56521
143	59392
144	62840
145	66556
146	70163
147	73902
148	78912
149	83121
150	88649
151	94382
152	100505
153	108816
154	116216
155	125645
156	134957
157	145310
158	157223
159	169280
160	183089
161	196863
162	212766
163	228597
164	246578
165	264544
166	283750
167	304096
168	324489
169	346366
170	366574
171	383968
172	403964
173	421319
174	438808
175	452428
176	465015
177	477043
178	484701
179	494078
180	498529
181	504229
182	505733
183	507259
184	507198
185	504144
186	499524
187	494157
188	487796
189	480174
190	471897
191	465160
192	456279
193	446443
194	435805
195	423981
196	411631
197	397138
198	383900
199	369653
200	353903
201	338045
202	323460
203	308382
204	291612
205	271811
206	254900
207	235813
208	217514
209	199114
210	182183
211	165418
212	150157
213	134755
214	120146
215	105356
216	93873
217	81692
218	69881
219	60175
220	51483
221	43224
222	36507
223	30317
224	25375
225	20706
226	16933
227	13756
228	11107
229	8556
230	6927
231	5318
232	4293
233	3564
234	2935
235	2288
236	1866
237	1557
238	1298
239	1026
240	972
241	754
242	774
243	630
244	619
245	555
246	501
247	440
248	506
249	405
250	423
251	404
252	375
253	375
254	332
255	303
256	314
257	298
258	307
259	342
260	306
261	234
262	273
263	221
264	236
265	215
266	232
267	220
268	216
269	275
270	229
271	279
272	304
273	125
274	84
275	90
276	57
277	73
278	79
279	85
280	85
281	82
282	80
283	69
284	83
285	69
286	86
287	77
288	70
289	74
290	72
291	70
292	68
293	57
294	64
295	57
296	66
297	65
298	59
299	63
300	77
301	73
302	58
303	66
304	67
305	63
306	61
307	66
308	82
309	69
310	60
311	55
312	74
313	69

